clean_feature_index,original_neuron_index,raw_mu_inanimate,raw_mu_animate,raw_contrast,normalized_contrast,abs_normalized_contrast,signed_log_abs_normalized_contrast
23787,23787,0.18363632,0.14603171,-0.037604615,-0.004418387,0.004418387,-1.0166343
38304,38304,0.05454544,0.111428544,0.056883104,0.0044077733,0.0044077733,1.0156904
28623,28623,0.033818174,0.093968235,0.06015006,0.0044052107,0.0044052107,1.0154622
36686,36686,0.042181812,0.10730156,0.06511975,0.0044033276,0.0044033276,1.0152944
35847,35847,0.10763635,0.06793649,-0.03969986,-0.0044011367,0.0044011367,-1.0150992
10095,10095,0.110181786,0.17492063,0.06473885,0.004398619,0.004398619,1.0148747
19284,19284,0.049090896,0.11301582,0.06392492,0.0043844185,0.0043844185,1.0136062
33897,33897,0.14981814,0.104761876,-0.04505626,-0.0043827184,0.0043827184,-1.0134541
38565,38565,0.015272727,0.073015854,0.057743125,0.0043823924,0.0043823924,1.013425
26156,26156,0.15127268,0.22825406,0.07698138,0.0043814303,0.0043814303,1.0133388
31714,31714,0.094909064,0.05714283,-0.037766233,-0.004376179,0.004376179,-1.0128685
5151,5151,0.07454543,0.12952377,0.05497834,0.0043751406,0.0043751406,1.0127755
11690,11690,0.13090904,0.08825394,-0.042655103,-0.004371778,0.004371778,-1.0124741
36996,36996,0.20472726,0.17269838,-0.032028884,-0.0043685213,0.0043685213,-1.0121818
11223,11223,0.043636348,0.10539679,0.061760444,0.0043674754,0.0043674754,1.012088
35882,35882,0.08472725,0.15396824,0.069240995,0.00436561,0.00436561,1.0119205
26795,26795,0.13309087,0.09968251,-0.03340836,-0.00435084,0.00435084,-1.0105921
26902,26902,0.04690907,0.103492044,0.056582972,0.004332773,0.004332773,1.0089616
33517,33517,0.043272715,0.1038095,0.060536783,0.004331031,0.004331031,1.0088041
30143,30143,0.05890907,0.12285711,0.063948035,0.0043300474,0.0043300474,1.008715
22905,22905,0.11309087,0.17523812,0.062147245,0.0043200795,0.0043200795,1.0078124
1803,1803,0.062181808,0.1180952,0.05591339,0.0043180482,0.0043180482,1.0076282
