perm_idx,accuracy,balanced_accuracy,auc
320,0.4322033898305085,0.4336219336219336,0.3913419913419913
321,0.5508474576271186,0.547041847041847,0.5731601731601731
322,0.5,0.5005772005772006,0.4822510822510823
323,0.4152542372881356,0.4108225108225108,0.37518037518037517
324,0.4067796610169492,0.4075036075036075,0.3728715728715729
325,0.5338983050847458,0.5323232323232323,0.5512265512265512
326,0.5423728813559322,0.5391053391053391,0.4935064935064935
327,0.3728813559322034,0.36767676767676766,0.3001443001443001
328,0.4322033898305085,0.4301587301587302,0.4115440115440115
329,0.5084745762711864,0.5108225108225108,0.49668109668109667
330,0.5,0.4982683982683983,0.49581529581529593
331,0.6101694915254238,0.6049062049062048,0.6014430014430014
332,0.5,0.4948051948051948,0.425974025974026
333,0.4830508474576271,0.4835497835497835,0.4808080808080808
334,0.5,0.49711399711399706,0.5082251082251081
335,0.5847457627118644,0.5822510822510822,0.5425685425685425
336,0.5847457627118644,0.5810966810966811,0.5673881673881674
337,0.423728813559322,0.4176046176046176,0.3544011544011544
338,0.4406779661016949,0.43463203463203465,0.4216450216450216
339,0.5,0.4936507936507937,0.44126984126984126
340,0.5254237288135594,0.5186147186147186,0.5145743145743147
341,0.5254237288135594,0.5209235209235209,0.5206349206349206
342,0.4406779661016949,0.43463203463203465,0.46551226551226554
343,0.5084745762711864,0.5073593073593073,0.52005772005772
344,0.4491525423728814,0.44372294372294374,0.4637806637806638
345,0.3728813559322034,0.3734487734487735,0.3468975468975469
346,0.4745762711864407,0.46984126984126984,0.45108225108225103
347,0.4067796610169492,0.40404040404040403,0.36623376623376624
348,0.5084745762711864,0.5027417027417027,0.5362193362193362
349,0.6016949152542372,0.5946608946608947,0.6115440115440115
350,0.5169491525423728,0.5199134199134199,0.5174603174603174
351,0.4491525423728814,0.446031746031746,0.4574314574314574
352,0.6440677966101694,0.645887445887446,0.6784992784992785
353,0.4406779661016949,0.43694083694083696,0.4701298701298701
354,0.5677966101694916,0.5617604617604618,0.604906204906205
355,0.5508474576271186,0.5505050505050505,0.574891774891775
356,0.3559322033898305,0.3518037518037518,0.3189033189033189
357,0.5677966101694916,0.5686868686868687,0.5881673881673882
358,0.5,0.5005772005772006,0.4946608946608947
359,0.5847457627118644,0.5834054834054834,0.6173160173160173
360,0.4067796610169492,0.40404040404040403,0.43636363636363634
361,0.4576271186440678,0.4562770562770563,0.4513708513708514
362,0.4745762711864407,0.4686868686868687,0.4354978354978355
363,0.4152542372881356,0.4154401154401154,0.40144300144300143
